Model Name,Mean Absolute Percentage Error,Mean Absolute Error,Mean Squared Error
LGBMRegressor with exogenous Features,0.037118938602545885,428.33366505228764,324116.1851635904
XGBRegressor with exogenous Features,0.036558896715335396,424.8678109146424,321347.38651307975
LGBMRegressor without exogenous Features,0.051746150821266296,595.2814173055749,657801.2352472253
XGBRegressor without exogenous Features,0.05384366767047631,618.0541959390831,697842.0150785394
Seasonal Naive Forecast,0.0856695664622024,972.74393784153,1677611.504859688
Tuned LGBMRegressor with exogenous Features,0.031574515097872104,367.97093356136156,231262.29543404473
Tuned XGBRegressor with exogenous Features,0.031549386511156796,366.94855586818005,227579.34640980064
Tuned LGBMRegressor with exogenous Features And Refit,0.030101695088702314,350.25420089401996,211686.24298654078
Tuned XGBRegressor with exogenous Features with Refit,0.029147464511203904,338.5806524558146,198757.29809998933
