date,holiday
2018-12-29,7
2018-12-30,7
2018-12-31,7
2019-01-01,7
2019-01-02,7
2019-01-03,7
2019-01-04,7
2019-01-05,7
2019-02-04,2
2019-02-05,2
2019-02-06,2
2019-02-07,2
2019-02-08,2
2019-02-09,2
2019-04-15,3
2019-04-16,3
2019-04-17,3
2019-04-18,3
2019-04-19,3
2019-04-20,3
2019-04-21,3
2019-04-22,3
2019-04-23,3
2019-04-24,3
2019-04-25,3
2019-04-26,3
2019-05-31,8
2019-06-11,4
2019-06-20,5
2019-06-21,5
2019-06-22,5
2019-06-23,5
2019-06-24,5
2019-06-25,5
2019-06-26,5
2019-06-27,5
2019-06-28,5
2019-06-29,5
2019-06-30,5
2019-07-01,5
2019-07-02,5
2019-07-03,5
2019-07-04,5
2019-07-05,5
2019-07-06,5
2019-07-07,5
2019-07-08,5
2019-07-09,5
2019-07-10,5
2019-07-11,5
2019-07-12,5
2019-07-13,5
2019-07-14,5
2019-07-15,5
2019-07-16,5
2019-07-17,5
2019-07-18,5
2019-07-19,5
2019-07-20,5
2019-07-21,5
2019-07-22,5
2019-07-23,5
2019-07-24,5
2019-07-25,5
2019-07-26,5
2019-07-27,5
2019-07-28,5
2019-07-29,5
2019-07-30,5
2019-07-31,5
2019-08-01,5
2019-08-02,5
2019-10-04,8
2019-10-07,6
2019-10-08,6
2019-10-09,6
2019-10-10,6
2019-10-11,6
2019-10-12,6
2019-10-13,6
2019-10-14,6
2019-10-15,6
2019-10-16,6
2019-10-17,6
2019-10-18,6
2019-10-19,6
2019-12-23,7
2019-12-24,7
2019-12-25,7
2019-12-26,7
2019-12-27,7
2019-12-28,7
2019-12-29,7
2019-12-30,7
2019-12-31,7
2020-01-01,7
2020-01-02,7
2020-01-03,7
2020-01-04,7
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-05-08,8
2020-05-22,8
2020-06-25,5
2020-06-26,5
2020-06-27,5
2020-06-28,5
2020-06-29,5
2020-06-30,5
2020-07-01,5
2020-07-02,5
2020-07-03,5
2020-07-04,5
2020-07-05,5
2020-07-06,5
2020-07-07,5
2020-07-08,5
2020-07-09,5
2020-07-10,5
2020-07-11,5
2020-07-12,5
2020-07-13,5
2020-07-14,5
2020-07-15,5
2020-07-16,5
2020-07-17,5
2020-07-18,5
2020-07-19,5
2020-07-20,5
2020-07-21,5
2020-07-22,5
2020-07-23,5
2020-07-24,5
2020-07-25,5
2020-07-26,5
2020-07-27,5
2020-07-28,5
2020-07-29,5
2020-07-30,5
2020-07-31,5
2020-08-01,5
2020-08-02,5
2020-08-03,5
2020-08-04,5
2020-08-05,5
2020-08-06,5
2020-08-07,5
2020-10-12,6
2020-10-13,6
2020-10-14,6
2020-10-15,6
2020-10-16,6
2020-10-17,6
2020-10-18,6
2020-10-19,6
2020-10-20,6
2020-10-21,6
2020-10-22,6
2020-10-23,6
2020-10-24,6
2020-12-21,7
2020-12-22,7
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,7
2020-12-30,7
2020-12-31,7
2021-01-01,7
2021-01-02,7
2021-02-01,2
2021-02-02,2
2021-02-03,2
2021-02-04,2
2021-02-05,2
2021-02-06,2
2021-03-29,3
2021-03-30,3
2021-03-31,3
2021-04-01,3
2021-04-02,3
2021-04-03,3
2021-04-04,3
2021-04-05,3
2021-04-06,3
2021-04-07,3
2021-04-08,3
2021-04-09,3
2021-04-10,3
2021-05-14,8
2021-06-24,5
2021-06-25,5
2021-06-26,5
2021-06-27,5
2021-06-28,5
2021-06-29,5
2021-06-30,5
2021-07-01,5
2021-07-02,5
2021-07-03,5
2021-07-04,5
2021-07-05,5
2021-07-06,5
2021-07-07,5
2021-07-08,5
2021-07-09,5
2021-07-10,5
2021-07-11,5
2021-07-12,5
2021-07-13,5
2021-07-14,5
2021-07-15,5
2021-07-16,5
2021-07-17,5
2021-07-18,5
2021-07-19,5
2021-07-20,5
2021-07-21,5
2021-07-22,5
2021-07-23,5
2021-07-24,5
2021-07-25,5
2021-07-26,5
2021-07-27,5
2021-07-28,5
2021-07-29,5
2021-07-30,5
2021-07-31,5
2021-08-01,5
2021-08-02,5
2021-08-03,5
2021-08-04,5
2021-08-05,5
2021-08-06,5
2021-10-11,6
2021-10-12,6
2021-10-13,6
2021-10-14,6
2021-10-15,6
2021-10-16,6
2021-10-17,6
2021-10-18,6
2021-10-19,6
2021-10-20,6
2021-10-21,6
2021-10-22,6
2021-10-23,6
2021-12-23,8
2021-12-24,7
2021-12-25,7
2021-12-26,7
2021-12-27,7
2021-12-28,7
2021-12-29,7
2021-12-30,7
2021-12-31,7
2022-01-29,2
2022-01-30,2
2022-01-31,2
2022-02-01,2
2022-02-02,2
2022-02-03,2
2022-02-04,2
2022-02-05,2
2022-03-07,8
2022-04-11,3
2022-04-12,3
2022-04-13,3
2022-04-14,3
2022-04-15,3
2022-04-16,3
2022-04-17,3
2022-04-18,3
2022-04-19,3
2022-04-20,3
2022-04-21,3
2022-04-22,3
2022-04-23,3
2022-05-27,8
2022-06-07,4
2022-07-07,5
2022-07-08,5
2022-07-09,5
2022-07-10,5
2022-07-11,5
2022-07-12,5
2022-07-13,5
2022-07-14,5
2022-07-15,5
2022-07-16,5
2022-07-17,5
2022-07-18,5
2022-07-19,5
2022-07-20,5
2022-07-21,5
2022-07-22,5
2022-07-23,5
2022-07-24,5
2022-07-25,5
2022-07-26,5
2022-07-27,5
2022-07-28,5
2022-07-29,5
2022-07-30,5
2022-07-31,5
2022-08-01,5
2022-08-02,5
2022-08-03,5
2022-08-04,5
2022-08-05,5
2022-08-06,5
2022-08-07,5
2022-08-08,5
2022-08-09,5
2022-08-10,5
2022-08-11,5
2022-08-12,5
2022-08-13,5
2022-08-14,5
2022-08-15,5
2022-08-16,5
2022-08-17,5
2022-08-18,5
2022-08-19,5
2022-10-24,6
2022-10-25,6
2022-10-26,6
2022-10-27,6
2022-10-28,6
2022-10-29,6
2022-10-30,6
2022-10-31,6
2022-11-01,6
2022-11-02,6
2022-11-03,6
2022-11-04,6
2022-11-05,6
2022-12-22,7
2022-12-23,7
2022-12-24,7
2022-12-25,7
2022-12-26,7
2022-12-27,7
2022-12-28,7
2022-12-29,7
2022-12-30,7
2022-12-31,7
2023-01-01,7
2023-01-02,7
2023-01-30,2
2023-01-31,2
2023-02-01,2
2023-02-02,2
2023-02-03,2
2023-02-04,2
2023-04-03,3
2023-04-04,3
