date,holiday
2019-04-22,Osterferien
2019-04-23,Osterferien
2019-04-24,Osterferien
2019-04-25,Osterferien
2019-04-26,Osterferien
2019-05-31,Pfingstferien
2019-06-11,Pfingstferien
2019-06-20,Sommerferien
2019-06-21,Sommerferien
2019-06-22,Sommerferien
2019-06-23,Sommerferien
2019-06-24,Sommerferien
2019-06-25,Sommerferien
2019-06-26,Sommerferien
2019-06-27,Sommerferien
2019-06-28,Sommerferien
2019-06-29,Sommerferien
2019-06-30,Sommerferien
2019-07-01,Sommerferien
2019-07-02,Sommerferien
2019-07-03,Sommerferien
2019-07-04,Sommerferien
2019-07-05,Sommerferien
2019-07-06,Sommerferien
2019-07-07,Sommerferien
2019-07-08,Sommerferien
2019-07-09,Sommerferien
2019-07-10,Sommerferien
2019-07-11,Sommerferien
2019-07-12,Sommerferien
2019-07-13,Sommerferien
2019-07-14,Sommerferien
2019-07-15,Sommerferien
2019-07-16,Sommerferien
2019-07-17,Sommerferien
2019-07-18,Sommerferien
2019-07-19,Sommerferien
2019-07-20,Sommerferien
2019-07-21,Sommerferien
2019-07-22,Sommerferien
2019-07-23,Sommerferien
2019-07-24,Sommerferien
2019-07-25,Sommerferien
2019-07-26,Sommerferien
2019-07-27,Sommerferien
2019-07-28,Sommerferien
2019-07-29,Sommerferien
2019-07-30,Sommerferien
2019-07-31,Sommerferien
2019-08-01,Sommerferien
2019-08-02,Sommerferien
2019-10-07,Herbstferien
2019-10-08,Herbstferien
2019-10-09,Herbstferien
2019-10-10,Herbstferien
2019-10-11,Herbstferien
2019-10-12,Herbstferien
2019-10-13,Herbstferien
2019-10-14,Herbstferien
2019-10-15,Herbstferien
2019-10-16,Herbstferien
2019-10-17,Herbstferien
2019-10-18,Herbstferien
2019-10-19,Herbstferien
2019-10-04,Herbstferien
2019-12-23,Weihnachtsferien
2019-12-24,Weihnachtsferien
2019-12-25,Weihnachtsferien
2019-12-26,Weihnachtsferien
2019-12-27,Weihnachtsferien
2019-12-28,Weihnachtsferien
2019-12-29,Weihnachtsferien
2019-12-30,Weihnachtsferien
2019-12-31,Weihnachtsferien
2020-01-01,Weihnachtsferien
2020-01-02,Weihnachtsferien
2020-01-03,Weihnachtsferien
2020-01-04,Weihnachtsferien
2020-02-03,Winterferien
2020-02-04,Winterferien
2020-02-05,Winterferien
2020-02-06,Winterferien
2020-02-07,Winterferien
2020-02-08,Winterferien
2020-04-06,Osterferien
2020-04-07,Osterferien
2020-04-08,Osterferien
2020-04-09,Osterferien
2020-04-10,Osterferien
2020-04-11,Osterferien
2020-04-12,Osterferien
2020-04-13,Osterferien
2020-04-14,Osterferien
2020-04-15,Osterferien
2020-04-16,Osterferien
2020-04-17,Osterferien
2020-05-08,Pfingstferien
2020-05-22,Pfingstferien
2020-06-25,Sommerferien
2020-06-26,Sommerferien
2020-06-27,Sommerferien
2020-06-28,Sommerferien
2020-06-29,Sommerferien
2020-06-30,Sommerferien
2020-07-01,Sommerferien
2020-07-02,Sommerferien
2020-07-03,Sommerferien
2020-07-04,Sommerferien
2020-07-05,Sommerferien
2020-07-06,Sommerferien
2020-07-07,Sommerferien
2020-07-08,Sommerferien
2020-07-09,Sommerferien
2020-07-10,Sommerferien
2020-07-11,Sommerferien
2020-07-12,Sommerferien
2020-07-13,Sommerferien
2020-07-14,Sommerferien
2020-07-15,Sommerferien
2020-07-16,Sommerferien
2020-07-17,Sommerferien
2020-07-18,Sommerferien
2020-07-19,Sommerferien
2020-07-20,Sommerferien
2020-07-21,Sommerferien
2020-07-22,Sommerferien
2020-07-23,Sommerferien
2020-07-24,Sommerferien
2020-07-25,Sommerferien
2020-07-26,Sommerferien
2020-07-27,Sommerferien
2020-07-28,Sommerferien
2020-07-29,Sommerferien
2020-07-30,Sommerferien
2020-07-31,Sommerferien
2020-08-01,Sommerferien
2020-08-02,Sommerferien
2020-08-03,Sommerferien
2020-08-04,Sommerferien
2020-08-05,Sommerferien
2020-08-06,Sommerferien
2020-08-07,Sommerferien
2020-10-12,Herbstferien
2020-10-13,Herbstferien
2020-10-14,Herbstferien
2020-10-15,Herbstferien
2020-10-16,Herbstferien
2020-10-17,Herbstferien
2020-10-18,Herbstferien
2020-10-19,Herbstferien
2020-10-20,Herbstferien
2020-10-21,Herbstferien
2020-10-22,Herbstferien
2020-10-23,Herbstferien
2020-10-24,Herbstferien
2020-12-21,Weihnachtsferien
2020-12-22,Weihnachtsferien
2020-12-23,Weihnachtsferien
2020-12-24,Weihnachtsferien
2020-12-25,Weihnachtsferien
2020-12-26,Weihnachtsferien
2020-12-27,Weihnachtsferien
2020-12-28,Weihnachtsferien
2020-12-29,Weihnachtsferien
2020-12-30,Weihnachtsferien
2020-12-31,Weihnachtsferien
2021-01-01,Weihnachtsferien
2021-01-02,Weihnachtsferien
2021-02-01,Winterferien
2021-02-02,Winterferien
2021-02-03,Winterferien
2021-02-04,Winterferien
2021-02-05,Winterferien
2021-02-06,Winterferien
2021-03-29,Osterferien
2021-03-30,Osterferien
2021-03-31,Osterferien
2021-04-01,Osterferien
2021-04-02,Osterferien
2021-04-03,Osterferien
2021-04-04,Osterferien
2021-04-05,Osterferien
2021-04-06,Osterferien
2021-04-07,Osterferien
2021-04-08,Osterferien
2021-04-09,Osterferien
2021-04-10,Osterferien
2021-05-14,Pfingstferien
2021-06-24,Sommerferien
2021-06-25,Sommerferien
2021-06-26,Sommerferien
2021-06-27,Sommerferien
2021-06-28,Sommerferien
2021-06-29,Sommerferien
2021-06-30,Sommerferien
2021-07-01,Sommerferien
2021-07-02,Sommerferien
2021-07-03,Sommerferien
2021-07-04,Sommerferien
2021-07-05,Sommerferien
2021-07-06,Sommerferien
2021-07-07,Sommerferien
2021-07-08,Sommerferien
2021-07-09,Sommerferien
2021-07-10,Sommerferien
2021-07-11,Sommerferien
2021-07-12,Sommerferien
2021-07-13,Sommerferien
2021-07-14,Sommerferien
2021-07-15,Sommerferien
2021-07-16,Sommerferien
2021-07-17,Sommerferien
2021-07-18,Sommerferien
2021-07-19,Sommerferien
2021-07-20,Sommerferien
2021-07-21,Sommerferien
2021-07-22,Sommerferien
2021-07-23,Sommerferien
2021-07-24,Sommerferien
2021-07-25,Sommerferien
2021-07-26,Sommerferien
2021-07-27,Sommerferien
2021-07-28,Sommerferien
2021-07-29,Sommerferien
2021-07-30,Sommerferien
2021-07-31,Sommerferien
2021-08-01,Sommerferien
2021-08-02,Sommerferien
2021-08-03,Sommerferien
2021-08-04,Sommerferien
2021-08-05,Sommerferien
2021-08-06,Sommerferien
2021-10-11,Herbstferien
2021-10-12,Herbstferien
2021-10-13,Herbstferien
2021-10-14,Herbstferien
2021-10-15,Herbstferien
2021-10-16,Herbstferien
2021-10-17,Herbstferien
2021-10-18,Herbstferien
2021-10-19,Herbstferien
2021-10-20,Herbstferien
2021-10-21,Herbstferien
2021-10-22,Herbstferien
2021-10-23,Herbstferien
2021-12-24,Weihnachtsferien
2021-12-25,Weihnachtsferien
2021-12-26,Weihnachtsferien
2021-12-27,Weihnachtsferien
2021-12-28,Weihnachtsferien
2021-12-29,Weihnachtsferien
2021-12-30,Weihnachtsferien
2021-12-31,Weihnachtsferien
2021-12-23,Weihnachtsferien
2022-01-29,Winterferien
2022-01-30,Winterferien
2022-01-31,Winterferien
2022-02-01,Winterferien
2022-02-02,Winterferien
2022-02-03,Winterferien
2022-02-04,Winterferien
2022-02-05,Winterferien
2022-04-11,Osterferien
2022-04-12,Osterferien
2022-04-13,Osterferien
2022-04-14,Osterferien
2022-04-15,Osterferien
2022-04-16,Osterferien
2022-04-17,Osterferien
2022-04-18,Osterferien
2022-04-19,Osterferien
2022-04-20,Osterferien
2022-04-21,Osterferien
2022-04-22,Osterferien
2022-04-23,Osterferien
2022-03-07,Osterferien
2022-05-27,Pfingstferien
2022-06-07,Pfingstferien
2022-07-07,Sommerferien
2022-07-08,Sommerferien
2022-07-09,Sommerferien
2022-07-10,Sommerferien
2022-07-11,Sommerferien
2022-07-12,Sommerferien
2022-07-13,Sommerferien
2022-07-14,Sommerferien
2022-07-15,Sommerferien
2022-07-16,Sommerferien
2022-07-17,Sommerferien
2022-07-18,Sommerferien
2022-07-19,Sommerferien
2022-07-20,Sommerferien
2022-07-21,Sommerferien
2022-07-22,Sommerferien
2022-07-23,Sommerferien
2022-07-24,Sommerferien
2022-07-25,Sommerferien
2022-07-26,Sommerferien
2022-07-27,Sommerferien
2022-07-28,Sommerferien
2022-07-29,Sommerferien
2022-07-30,Sommerferien
2022-07-31,Sommerferien
2022-08-01,Sommerferien
2022-08-02,Sommerferien
2022-08-03,Sommerferien
2022-08-04,Sommerferien
2022-08-05,Sommerferien
2022-08-06,Sommerferien
2022-08-07,Sommerferien
2022-08-08,Sommerferien
2022-08-09,Sommerferien
2022-08-10,Sommerferien
2022-08-11,Sommerferien
2022-08-12,Sommerferien
2022-08-13,Sommerferien
2022-08-14,Sommerferien
2022-08-15,Sommerferien
2022-08-16,Sommerferien
2022-08-17,Sommerferien
2022-08-18,Sommerferien
2022-08-19,Sommerferien
2022-10-24,Herbstferien
2022-10-25,Herbstferien
2022-10-26,Herbstferien
2022-10-27,Herbstferien
2022-10-28,Herbstferien
2022-10-29,Herbstferien
2022-10-30,Herbstferien
2022-10-31,Herbstferien
2022-11-01,Herbstferien
2022-11-02,Herbstferien
2022-11-03,Herbstferien
2022-11-04,Herbstferien
2022-11-05,Herbstferien
2022-12-22,Weihnachtsferien
2022-12-23,Weihnachtsferien
2022-12-24,Weihnachtsferien
2022-12-25,Weihnachtsferien
2022-12-26,Weihnachtsferien
2022-12-27,Weihnachtsferien
2022-12-28,Weihnachtsferien
2022-12-29,Weihnachtsferien
2022-12-30,Weihnachtsferien
2022-12-31,Weihnachtsferien
2023-01-01,Weihnachtsferien
2023-01-02,Weihnachtsferien
2023-01-30,Winterferien
2023-01-31,Winterferien
2023-02-01,Winterferien
2023-02-02,Winterferien
2023-02-03,Winterferien
2023-02-04,Winterferien
2023-04-03,Osterferien
2023-04-04,Osterferien
2023-04-05,Osterferien
2023-04-06,Osterferien
2023-04-07,Osterferien
2023-04-08,Osterferien
2023-04-09,Osterferien
2023-04-10,Osterferien
2023-04-11,Osterferien
2023-04-12,Osterferien
2023-04-13,Osterferien
2023-04-14,Osterferien
2023-05-19,Pfingstferien
2023-05-30,Pfingstferien
2023-07-13,Sommerferien
2023-07-14,Sommerferien
2023-07-15,Sommerferien
2023-07-16,Sommerferien
2023-07-17,Sommerferien
2023-07-18,Sommerferien
2023-07-19,Sommerferien
2023-07-20,Sommerferien
2023-07-21,Sommerferien
2023-07-22,Sommerferien
2023-07-23,Sommerferien
2023-07-24,Sommerferien
2023-07-25,Sommerferien
2023-07-26,Sommerferien
2023-07-27,Sommerferien
2023-07-28,Sommerferien
2023-07-29,Sommerferien
2023-07-30,Sommerferien
2023-07-31,Sommerferien
2023-08-01,Sommerferien
2023-08-02,Sommerferien
2023-08-03,Sommerferien
2023-08-04,Sommerferien
2023-08-05,Sommerferien
2023-08-06,Sommerferien
2023-08-07,Sommerferien
2023-08-08,Sommerferien
2023-08-09,Sommerferien
2023-08-10,Sommerferien
2023-08-11,Sommerferien
2023-08-12,Sommerferien
2023-08-13,Sommerferien
2023-08-14,Sommerferien
2023-08-15,Sommerferien
2023-08-16,Sommerferien
2023-08-17,Sommerferien
2023-08-18,Sommerferien
2023-08-19,Sommerferien
2023-08-20,Sommerferien
2023-08-21,Sommerferien
2023-08-22,Sommerferien
2023-08-23,Sommerferien
2023-08-24,Sommerferien
2023-08-25,Sommerferien
2023-10-23,Herbstferien
2023-10-24,Herbstferien
2023-10-25,Herbstferien
2023-10-26,Herbstferien
2023-10-27,Herbstferien
2023-10-28,Herbstferien
2023-10-29,Herbstferien
2023-10-30,Herbstferien
2023-10-31,Herbstferien
2023-11-01,Herbstferien
2023-11-02,Herbstferien
2023-11-03,Herbstferien
2023-11-04,Herbstferien
2023-10-02,Herbstferien
2023-12-23,Weihnachtsferien
2023-12-24,Weihnachtsferien
2023-12-25,Weihnachtsferien
2023-12-26,Weihnachtsferien
2023-12-27,Weihnachtsferien
2023-12-28,Weihnachtsferien
2023-12-29,Weihnachtsferien
2023-12-30,Weihnachtsferien
2023-12-31,Weihnachtsferien
2024-01-01,Weihnachtsferien
2024-01-02,Weihnachtsferien
2024-01-03,Weihnachtsferien
2024-01-04,Weihnachtsferien
2024-01-05,Weihnachtsferien
2024-02-05,Winterferien
2024-02-06,Winterferien
2024-02-07,Winterferien
2024-02-08,Winterferien
2024-02-09,Winterferien
2024-02-10,Winterferien
2024-03-25,Osterferien
2024-03-26,Osterferien
2024-03-27,Osterferien
2024-03-28,Osterferien
2024-03-29,Osterferien
2024-03-30,Osterferien
2024-03-31,Osterferien
2024-04-01,Osterferien
2024-04-02,Osterferien
2024-04-03,Osterferien
2024-04-04,Osterferien
2024-04-05,Osterferien
2024-05-10,Pfingstferien
2024-07-18,Sommerferien
2024-07-19,Sommerferien
2024-07-20,Sommerferien
2024-07-21,Sommerferien
2024-07-22,Sommerferien
2024-07-23,Sommerferien
2024-07-24,Sommerferien
2024-07-25,Sommerferien
2024-07-26,Sommerferien
2024-07-27,Sommerferien
2024-07-28,Sommerferien
2024-07-29,Sommerferien
2024-07-30,Sommerferien
2024-07-31,Sommerferien
2024-08-01,Sommerferien
2024-08-02,Sommerferien
2024-08-03,Sommerferien
2024-08-04,Sommerferien
2024-08-05,Sommerferien
2024-08-06,Sommerferien
2024-08-07,Sommerferien
2024-08-08,Sommerferien
2024-08-09,Sommerferien
2024-08-10,Sommerferien
2024-08-11,Sommerferien
2024-08-12,Sommerferien
2024-08-13,Sommerferien
2024-08-14,Sommerferien
2024-08-15,Sommerferien
2024-08-16,Sommerferien
2024-08-17,Sommerferien
2024-08-18,Sommerferien
2024-08-19,Sommerferien
2024-08-20,Sommerferien
2024-08-21,Sommerferien
2024-08-22,Sommerferien
2024-08-23,Sommerferien
2024-08-24,Sommerferien
2024-08-25,Sommerferien
2024-08-26,Sommerferien
2024-08-27,Sommerferien
2024-08-28,Sommerferien
2024-08-29,Sommerferien
2024-08-30,Sommerferien
2024-10-21,Herbstferien
2024-10-22,Herbstferien
2024-10-23,Herbstferien
2024-10-24,Herbstferien
2024-10-25,Herbstferien
2024-10-26,Herbstferien
2024-10-27,Herbstferien
2024-10-28,Herbstferien
2024-10-29,Herbstferien
2024-10-30,Herbstferien
2024-10-31,Herbstferien
2024-11-01,Herbstferien
2024-11-02,Herbstferien
2024-10-04,Herbstferien
2024-12-23,Weihnachtsferien
2024-12-24,Weihnachtsferien
